,q_init_value,alpha_rate,epsilon_rate,gamma_rate,success_perc,traffic_violations_avg,explored_states_avg,reward_cum_avg,actions_avg
333,2.0,0.3,0.05,0.95,40.0,5.3,27.4,4.8,22.8
334,2.0,0.3,0.05,1.0,10.0,4.7,22.0,0.85,25.7
335,2.0,0.3,0.1,0.8,20.0,7.1,30.6,0.55,25.7
336,2.0,0.3,0.1,0.85,10.0,5.1,25.5,2.25,29.4
337,2.0,0.3,0.1,0.9,0.0,5.2,27.8,-2.95,32.5
338,2.0,0.3,0.1,0.95,10.0,5.1,28.1,5.95,29.3
339,2.0,0.3,0.1,1.0,10.0,4.3,25.0,-3.8,27.7
340,2.0,0.3,0.15,0.8,20.0,6.1,28.7,-0.3,26.4
341,2.0,0.3,0.15,0.85,30.0,4.2,26.1,8.2,24.8
342,2.0,0.3,0.15,0.9,50.0,6.4,27.3,-2.65,19.7
343,2.0,0.3,0.15,0.95,80.0,5.0,25.0,3.35,21.0
344,2.0,0.3,0.15,1.0,40.0,2.6,21.3,2.45,22.6
345,2.0,0.3,0.2,0.8,50.0,7.5,35.9,-1.75,27.6
346,2.0,0.3,0.2,0.85,10.0,6.8,30.1,-2.85,28.0
347,2.0,0.3,0.2,0.9,20.0,3.1,20.7,1.7,29.1
348,2.0,0.3,0.2,0.95,20.0,7.8,23.5,-3.55,30.7
349,2.0,0.3,0.2,1.0,10.0,6.7,28.1,2.0,33.6
350,2.0,0.35,0.0,0.8,50.0,5.1,29.1,4.55,26.9
351,2.0,0.35,0.0,0.85,10.0,8.5,28.1,-5.8,28.2
